step,wall_time,defend_reward_mean,defend_reward_std,attack_reward_mean,attack_reward_std,defend_kl_mean,attack_kl_mean,defend_loss_approx,attack_loss_approx,defend_grad_norm,attack_grad_norm,lr
0,1774874185.38,-1.902141809463501,4.104248046875,1.902141809463501,4.104248046875,0.021050333976745605,0.0238877534866333,0.002105033490806818,0.00238877534866333,0.73828125,0.74609375,5.000000000000001e-07
1,1774874214.85,-2.270650863647461,6.349869728088379,2.270650863647461,6.349869728088379,0.022216767072677612,0.028767496347427368,0.00222167675383389,0.0028767497278749943,0.6484375,0.70703125,1.0000000000000002e-06
2,1774874244.19,-7.371709823608398,4.537723541259766,7.5547776222229,4.419776439666748,0.136431485414505,0.2006278783082962,0.013643148355185986,0.02006278745830059,0.59765625,0.71484375,1.5e-06
3,1774874274.12,-3.285281181335449,5.183565616607666,3.2458536624908447,5.060327529907227,0.19144409894943237,0.16263654828071594,0.019144410267472267,0.016263654455542564,0.734375,0.84375,2.0000000000000003e-06
4,1774874304.15,-1.5917723178863525,3.4611215591430664,1.5322117805480957,3.497817039489746,0.16292250156402588,0.17120087146759033,0.016292249783873558,0.017120087519288063,0.734375,0.70703125,2.5e-06
10,1774874480.81,-0.612485408782959,3.478477954864502,0.3994107246398926,3.7220747470855713,0.14304949343204498,0.1591959297657013,0.014304949901998043,0.01591959409415722,0.71875,0.78125,5.500000000000001e-06
20,1774874776.3,-9.369738578796387,7.276243686676025,9.268908500671387,7.265225887298584,0.13018842041492462,0.15890100598335266,0.013018841855227947,0.015890100970864296,0.65625,0.73046875,1.05e-05
30,1774875071.82,-4.5160017013549805,8.683361053466797,4.497720718383789,8.609639167785645,0.18686345219612122,0.11664608120918274,0.018686344847083092,0.011664608493447304,0.77734375,0.890625,1.55e-05
40,1774875361.95,-5.616087913513184,3.539954900741577,5.712735176086426,3.566086530685425,0.158284530043602,0.16928955912590027,0.0158284530043602,0.016928955912590027,0.66015625,0.71875,2.05e-05
50,1774875655.98,-9.524724960327148,7.7495808601379395,9.7795991897583,7.856428146362305,0.14106802642345428,0.19484323263168335,0.014106802642345428,0.019484324380755424,0.69140625,0.765625,2.5500000000000003e-05
60,1774875950.32,-5.788656234741211,4.560446262359619,5.693402290344238,4.529237270355225,0.12373058497905731,0.17863619327545166,0.012373059056699276,0.017863620072603226,0.6640625,0.6796875,3.05e-05
70,1774876244.5,-0.17877197265625,3.463697910308838,0.07306957244873047,3.457831382751465,0.13419675827026367,0.15938882529735565,0.013419675640761852,0.015938883647322655,0.55078125,0.6796875,3.55e-05
80,1774876541.7,-1.7943122386932373,5.346244812011719,1.7641725540161133,5.229279041290283,0.184413880109787,0.17441816627979279,0.01844138838350773,0.01744181662797928,0.6953125,0.7421875,4.05e-05
90,1774876838.17,-7.779382228851318,8.181166648864746,7.793482303619385,8.234146118164062,0.16431400179862976,0.1362069547176361,0.016431400552392006,0.013620696030557156,0.6796875,0.62109375,4.55e-05
100,1774877135.13,-8.3946533203125,6.7255988121032715,8.412433624267578,6.857364177703857,0.1983659565448761,0.17640142142772675,0.01983659528195858,0.017640141770243645,0.5546875,0.67578125,4.999984769144476e-05
110,1774877431.25,-13.459604263305664,7.065276145935059,13.541150093078613,6.984606742858887,0.20612242817878723,0.18508197367191315,0.020612243562936783,0.018508197739720345,0.6171875,0.5,4.998157291026553e-05
120,1774877727.5,-4.8769330978393555,3.6586813926696777,4.998920440673828,3.4806337356567383,0.14498969912528992,0.1833752989768982,0.014498970471322536,0.01833753101527691,0.486328125,0.59765625,4.9932861930611454e-05
130,1774878023.12,-6.006648063659668,11.268787384033203,6.063258171081543,11.210945129394531,0.16405750811100006,0.1382979452610016,0.016405751928687096,0.013829794712364674,0.58203125,0.5625,4.985377409930789e-05
140,1774878319.29,-5.520234107971191,6.15391206741333,5.45556640625,6.175736904144287,0.14105132222175598,0.16779319941997528,0.014105132780969143,0.016779320314526558,0.62890625,0.546875,4.9744405772694725e-05
